"invoice_id","branch","customer_type","gender","product_line","unit_price","quantity","tax_5_percentage","total","date","time","payment","cogs","gross_margin_percentage","gross_income","city","rating","time_of_day","day_name"
"750-67-8428","A","Member","Female","Health and beauty","74.69","7.00","26.14","548.97","2019-01-05","13:08:00","Ewallet","522.83","4.761904762","26.141500000","Yangon","9.10","Afternoon","Saturday"
"123-19-1176","A","Member","Male","Health and beauty","58.22","8.00","23.29","489.05","2019-01-27","20:33:00","Ewallet","465.76","4.761904762","23.288000000","Yangon","8.40","Evening","Sunday"
"665-32-9167","A","Member","Female","Health and beauty","36.26","2.00","3.63","76.15","2019-01-10","17:15:00","Credit card","72.52","4.761904762","3.626000000","Yangon","7.20","Evening","Thursday"
"299-46-1805","B","Member","Female","Sports and travel","93.72","6.00","28.12","590.44","2019-01-15","16:19:00","Cash","562.32","4.761904762","28.116000000","Mandalay","4.50","Evening","Tuesday"
"765-26-6951","A","Normal","Male","Sports and travel","72.61","6.00","21.78","457.44","2019-01-01","10:39:00","Credit card","435.66","4.761904762","21.783000000","Yangon","6.90","Morning","Tuesday"
"329-62-1586","A","Normal","Male","Food and beverages","54.67","3.00","8.20","172.21","2019-01-21","18:00:00","Credit card","164.01","4.761904762","8.200500000","Yangon","8.60","Evening","Monday"
"145-94-9061","B","Normal","Female","Food and beverages","88.36","5.00","22.09","463.89","2019-01-25","19:48:00","Cash","441.80","4.761904762","22.090000000","Mandalay","9.60","Evening","Friday"
"149-71-6266","B","Member","Male","Sports and travel","78.07","9.00","35.13","737.76","2019-01-28","12:43:00","Cash","702.63","4.761904762","35.131500000","Mandalay","4.50","Afternoon","Monday"
"640-49-2076","B","Normal","Male","Sports and travel","83.78","8.00","33.51","703.75","2019-01-10","14:49:00","Cash","670.24","4.761904762","33.512000000","Mandalay","5.10","Afternoon","Thursday"
"232-16-2483","C","Member","Female","Sports and travel","68.12","1.00","3.41","71.53","2019-01-07","12:28:00","Ewallet","68.12","4.761904762","3.406000000","Naypyitaw","6.80","Afternoon","Monday"
"272-65-1806","A","Normal","Female","Electronic accessories","60.88","9.00","27.40","575.32","2019-01-15","17:17:00","Ewallet","547.92","4.761904762","27.396000000","Yangon","4.70","Evening","Tuesday"
"280-35-5823","B","Member","Female","Home and lifestyle","86.72","1.00","4.34","91.06","2019-01-17","18:45:00","Ewallet","86.72","4.761904762","4.336000000","Mandalay","7.90","Evening","Thursday"
"778-71-5554","C","Member","Male","Fashion accessories","15.43","1.00","0.77","16.20","2019-01-25","15:46:00","Credit card","15.43","4.761904762","0.771500000","Naypyitaw","6.10","Afternoon","Friday"
"817-48-8732","A","Member","Female","Home and lifestyle","72.35","10.00","36.18","759.68","2019-01-20","15:55:00","Cash","723.50","4.761904762","36.175000000","Yangon","5.40","Afternoon","Sunday"
"109-28-2512","B","Member","Female","Fashion accessories","97.61","6.00","29.28","614.94","2019-01-07","15:01:00","Ewallet","585.66","4.761904762","29.283000000","Mandalay","9.90","Afternoon","Monday"
"232-11-3025","A","Normal","Male","Sports and travel","78.77","10.00","39.39","827.09","2019-01-24","10:04:00","Cash","787.70","4.761904762","39.385000000","Yangon","6.40","Morning","Thursday"
"393-65-2792","C","Normal","Male","Food and beverages","89.48","10.00","44.74","939.54","2019-01-06","12:46:00","Credit card","894.80","4.761904762","44.740000000","Naypyitaw","9.60","Afternoon","Sunday"
"287-21-9091","A","Normal","Male","Home and lifestyle","74.67","9.00","33.60","705.63","2019-01-22","10:55:00","Ewallet","672.03","4.761904762","33.601500000","Yangon","9.40","Morning","Tuesday"
"732-94-0499","C","Normal","Female","Electronic accessories","41.65","10.00","20.83","437.33","2019-01-13","17:04:00","Credit card","416.50","4.761904762","20.825000000","Naypyitaw","5.40","Evening","Sunday"
"263-10-3913","C","Member","Male","Fashion accessories","49.04","9.00","22.07","463.43","2019-01-09","14:20:00","Credit card","441.36","4.761904762","22.068000000","Naypyitaw","8.60","Afternoon","Wednesday"
"381-20-0914","A","Member","Female","Fashion accessories","20.01","9.00","9.00","189.09","2019-01-12","15:48:00","Credit card","180.09","4.761904762","9.004500000","Yangon","5.70","Afternoon","Saturday"
"756-01-7507","C","Normal","Female","Health and beauty","20.38","5.00","5.10","107.00","2019-01-22","18:56:00","Cash","101.90","4.761904762","5.095000000","Naypyitaw","6.00","Evening","Tuesday"
"870-72-4431","C","Normal","Female","Health and beauty","99.19","6.00","29.76","624.90","2019-01-21","14:42:00","Credit card","595.14","4.761904762","29.757000000","Naypyitaw","5.50","Afternoon","Monday"
"847-38-7188","B","Normal","Female","Food and beverages","96.68","3.00","14.50","304.54","2019-01-26","19:56:00","Ewallet","290.04","4.761904762","14.502000000","Mandalay","6.40","Evening","Saturday"
"480-63-2856","C","Normal","Male","Food and beverages","19.25","8.00","7.70","161.70","2019-01-23","18:37:00","Ewallet","154.00","4.761904762","7.700000000","Naypyitaw","6.60","Evening","Wednesday"
"504-35-8843","A","Normal","Male","Sports and travel","42.47","1.00","2.12","44.59","2019-01-02","16:57:00","Cash","42.47","4.761904762","2.123500000","Yangon","5.70","Evening","Wednesday"
"565-80-5980","C","Member","Female","Home and lifestyle","47.38","4.00","9.48","199.00","2019-01-23","10:25:00","Cash","189.52","4.761904762","9.476000000","Naypyitaw","7.10","Morning","Wednesday"
"225-32-0908","C","Normal","Female","Sports and travel","44.86","10.00","22.43","471.03","2019-01-26","19:54:00","Ewallet","448.60","4.761904762","22.430000000","Naypyitaw","8.20","Evening","Saturday"
"873-51-0671","A","Member","Female","Sports and travel","21.98","7.00","7.69","161.55","2019-01-10","16:42:00","Ewallet","153.86","4.761904762","7.693000000","Yangon","5.10","Evening","Thursday"
"704-48-3927","A","Member","Male","Electronic accessories","88.67","10.00","44.34","931.04","2019-01-12","14:50:00","Ewallet","886.70","4.761904762","44.335000000","Yangon","7.30","Afternoon","Saturday"
"628-34-3388","C","Normal","Male","Fashion accessories","27.38","6.00","8.21","172.49","2019-01-05","20:54:00","Credit card","164.28","4.761904762","8.214000000","Naypyitaw","7.90","Evening","Saturday"
"645-44-1170","A","Member","Male","Home and lifestyle","58.07","9.00","26.13","548.76","2019-01-19","20:07:00","Ewallet","522.63","4.761904762","26.131500000","Yangon","4.30","Evening","Saturday"
"659-65-8956","B","Member","Male","Fashion accessories","51.36","1.00","2.57","53.93","2019-01-16","15:26:00","Ewallet","51.36","4.761904762","2.568000000","Mandalay","5.20","Afternoon","Wednesday"
"378-24-2715","B","Normal","Male","Home and lifestyle","53.44","2.00","5.34","112.22","2019-01-20","20:38:00","Ewallet","106.88","4.761904762","5.344000000","Mandalay","4.10","Evening","Sunday"
"659-36-1684","C","Member","Male","Sports and travel","57.12","7.00","19.99","419.83","2019-01-12","12:02:00","Credit card","399.84","4.761904762","19.992000000","Naypyitaw","6.50","Afternoon","Saturday"
"870-54-3162","A","Normal","Female","Sports and travel","32.25","5.00","8.06","169.31","2019-01-27","13:26:00","Cash","161.25","4.761904762","8.062500000","Yangon","9.00","Afternoon","Sunday"
"189-08-9157","C","Normal","Female","Fashion accessories","31.73","9.00","14.28","299.85","2019-01-08","16:17:00","Credit card","285.57","4.761904762","14.278500000","Naypyitaw","5.90","Evening","Tuesday"
"663-86-9076","C","Member","Female","Food and beverages","68.54","8.00","27.42","575.74","2019-01-08","15:57:00","Ewallet","548.32","4.761904762","27.416000000","Naypyitaw","8.50","Afternoon","Tuesday"
"191-10-6171","B","Normal","Female","Fashion accessories","39.62","7.00","13.87","291.21","2019-01-25","13:18:00","Cash","277.34","4.761904762","13.867000000","Mandalay","7.50","Afternoon","Friday"
"700-81-1757","A","Normal","Female","Electronic accessories","26.31","5.00","6.58","138.13","2019-01-18","20:59:00","Credit card","131.55","4.761904762","6.577500000","Yangon","8.80","Evening","Friday"
